data_date,org_code,elec_type,data_value,trade_code
2019-12-01,32411,1,330541305,U
2019-12-01,32412,1,394777864,U
2019-12-01,32413,1,347037690,U
2020-01-01,32401,1,1521848262,U
2020-01-01,32402,1,994325041,U
2020-01-01,32403,1,957699192,U
2020-01-01,32404,1,711789925,U
2020-01-01,32405,1,1736203061,U
2020-01-01,32406,1,964983545,U
2020-01-01,32407,1,512048434,U
2020-01-01,32408,1,523881329,U
2020-01-01,32409,1,726708273,U
2020-01-01,32410,1,624709673,U
2020-01-01,32411,1,459068220,U
2020-01-01,32412,1,588132309,U
2020-01-01,32413,1,483200357,U
2020-02-01,32401,1,1024635125,U
2020-02-01,32402,1,729086405,U
2020-02-01,32403,1,728820536,U
2020-02-01,32404,1,504891638,U
2020-02-01,32405,1,1289058244,U
2020-02-01,32406,1,783337269,U
2020-02-01,32407,1,397715464,U
2020-02-01,32408,1,399486372,U
2020-02-01,32409,1,604950962,U
2020-02-01,32410,1,465473484,U
2020-02-01,32411,1,326132495,U
2020-02-01,32412,1,451124462,U
2020-02-01,32413,1,367387785,U
2020-03-01,32401,1,837992755,U
2020-03-01,32402,1,605824999,U
2020-03-01,32403,1,559151862,U
2020-03-01,32404,1,409985609,U
2020-03-01,32405,1,1134603242,U
2020-03-01,32406,1,638867249,U
2020-03-01,32407,1,281423275,U
2020-03-01,32408,1,292140636,U
2020-03-01,32409,1,450733043,U
2020-03-01,32410,1,347340670,U
2020-03-01,32411,1,251331074,U
2020-03-01,32412,1,333794251,U
2020-03-01,32413,1,278373908,U
2020-04-01,32401,1,692951794,U
2020-04-01,32402,1,503599843,U
2020-04-01,32403,1,450016330,U
2020-04-01,32404,1,340721441,U
2020-04-01,32405,1,957360238,U
2020-04-01,32406,1,544983692,U
2020-04-01,32407,1,221913938,U
2020-04-01,32408,1,233266084,U
2020-04-01,32409,1,367425538,U
2020-04-01,32410,1,278502620,U
2020-04-01,32411,1,209319862,U
2020-04-01,32412,1,273990016,U
2020-04-01,32413,1,226504791,U
2020-05-01,32401,1,733599180,U
2020-05-01,32402,1,508672813,U
2020-05-01,32403,1,463897482,U
2020-05-01,32404,1,348354047,U
2020-05-01,32405,1,954974784,U
2020-05-01,32406,1,529685300,U
2020-05-01,32407,1,218444164,U
